movie_id,title,original_title,release_date,original_language,popularity,vote_average,vote_count,adult,release_year
1368337,L'Odyssée,The Odyssey,2026-07-15,en,1036.952,7.924,1063,False,2026
1275779,Disclosure Day,Disclosure Day,2026-06-10,en,631.5367,7.123,1289,False,2026
1108427,"Vaiana, la légende du bout du monde",Moana,2026-07-08,en,619.8748,5.8,135,False,2026
1339713,Obsession,Obsession,2026-05-13,en,458.8216,8.248,3514,False,2026
1083381,Backrooms,Backrooms,2026-05-27,en,452.7738,7.089,1955,False,2026
1081003,Supergirl,Supergirl,2026-06-24,en,392.937,6.148,512,False,2026
1315772,Des Minions et des monstres,Minions & Monsters,2026-06-24,en,374.0304,6.4,215,False,2026
1273221,Scary Movie,Scary Movie,2026-06-03,en,373.5666,6.452,934,False,2026
1084244,Toy Story 5,Toy Story 5,2026-06-17,en,372.2682,7.419,681,False,2026
454639,Les Maîtres de l'Univers,Masters of the Universe,2026-06-03,en,234.7251,7.275,597,False,2026
1228710,The Mandalorian and Grogu,The Mandalorian and Grogu,2026-05-20,en,245.8769,7.031,771,False,2026
1668364,Le Désir,Deseo,2026-05-07,es,195.7052,6.931,94,False,2026
1318621,Descendants : La Malédiction du Pays des Merveilles,Descendants: Wicked Wonderland,2026-07-16,en,203.239,7.678,87,False,2026
687163,Projet Dernière Chance,Project Hail Mary,2026-03-15,en,196.7182,8.661,6317,False,2026
1727780,Borderline,Borderline,2026-07-17,en,210.5918,0.0,0,False,2026
1314481,Le Diable s'habille en Prada 2,The Devil Wears Prada 2,2026-04-29,en,182.5897,7.129,1614,False,2026
261639,尼寺の情事　極楽ＳＥＸ,尼寺の情事　極楽ＳＥＸ,1998-02-06,ja,172.0113,3.75,4,False,1998
1368314,Passenger,Passenger,2026-05-20,en,157.7819,7.277,535,False,2026
1280738,The Furious,火遮眼,2026-06-10,zh,138.5131,7.403,236,False,2026
969681,Spider-Man: Brand New Day,Spider-Man: Brand New Day,2026-07-28,en,156.3287,0.0,0,False,2026
1127384,Deep Water,Deep Water,2026-04-30,en,153.8779,7.433,267,False,2026
1523145,Your Heart Will Be Broken,Твоё сердце будет разбито,2026-03-26,ru,157.574,7.184,117,False,2026
936075,Michael,Michael,2026-04-22,en,125.8724,8.699,3644,False,2026
931285,Mortal Kombat II,Mortal Kombat II,2026-05-06,en,120.1345,7.978,2069,False,2026
83533,Avatar : De feu et de cendres,Avatar: Fire and Ash,2025-12-17,en,120.1107,7.641,3892,False,2025
1110034,Kraken,Kraken,2026-02-06,no,138.4744,6.447,228,False,2026
1413976,Citizen Vigilante,Citizen Vigilante,2026-06-19,en,113.0377,6.387,270,False,2026
200066,Il frullo del passero,Il frullo del passero,1988-01-01,it,157.0336,4.167,12,False,1988
1226863,"Super Mario Galaxy, le film",The Super Mario Galaxy Movie,2026-04-01,en,107.9632,8.252,3171,False,2026
1304313,Le Réveil de la Momie,Lee Cronin's The Mummy,2026-04-15,en,105.4796,7.961,2316,False,2026
1003596,Avengers: Doomsday,Avengers: Doomsday,2026-12-16,en,100.0596,0.0,0,False,2026
1321008,Black Box,Black Box,2026-06-25,en,91.4842,6.311,45,False,2026
1311031,Demon Slayer : Kimetsu no Yaiba - Le film : La Forteresse infinie,劇場版「鬼滅の刃」無限城編 第一章 猗窩座再来,2025-07-18,ja,100.5174,7.746,907,False,2025
47612,Au Bonheur des Dames,Au Bonheur des Dames,1930-07-03,fr,106.7951,6.3,35,False,1930
1443894,Forgive Us All,Forgive Us All,2025-05-08,en,96.991,5.0,37,False,2025
1285366,愛のぬくもり,愛のぬくもり,2024-07-06,ja,89.9245,6.2,4,False,2024
1321491,The Banished,The Banished,2025-07-18,en,74.5374,4.733,15,False,2025
976912,Graphic Designs,Graphic Desires,2023-08-31,en,80.9497,7.063,128,False,2023
1645603,Night of the Living Dead,Night of the Living Dead,2026-07-03,en,68.6107,5.016,61,False,2026
64439,Une flamme dans mon cœur,Une flamme dans mon cœur,1987-06-03,fr,57.657,6.1,14,False,1987
585534,モーニング・ムーンは粗雑に,モーニング・ムーンは粗雑に,1981-06-21,ja,72.2191,4.3,3,False,1981
980431,La Légende de Aang - le dernier maître de l'air,Avatar Aang: The Last Airbender,2026-07-24,en,72.5442,0.0,0,False,2026
1318447,Apex,Apex,2026-04-24,en,74.1563,6.857,1673,False,2026
1439930,The Punisher : One Last Kill,The Punisher: One Last Kill,2026-05-12,en,75.0507,8.321,1894,False,2026
1491920,功夫女足,功夫女足,2026-07-11,zh,71.5665,6.3,14,False,2026
718833,Bokshi,Bokshi,2025-01-31,hi,67.608,6.0,1,False,2025
1327819,Jumpers,Hoppers,2026-03-04,en,69.6751,8.185,1996,False,2026
1007757,Aventures croisées,Swapped,2026-05-01,en,68.1406,8.91,1983,False,2026
157336,Interstellar,Interstellar,2014-11-05,en,74.561,8.483,40393,False,2014
1595852,Boulevard,Boulevard,2026-04-10,es,73.1796,7.57,122,False,2026
1301421,Les Moutons détectives,The Sheep Detectives,2026-04-30,en,67.3433,7.897,1101,False,2026
634649,Spider-Man : No Way Home,Spider-Man: No Way Home,2021-12-15,en,74.6332,7.934,22274,False,2021
1212763,Evil Dead Burn,Evil Dead Burn,2026-07-07,en,64.7557,6.8,186,False,2026
1290821,Shelter,Shelter,2026-01-28,en,69.4792,7.767,1545,False,2026
1301310,Zombies of the Third Reich,Zombies of the Third Reich,2025-06-10,en,64.538,4.833,3,False,2025
1656220,23 000 vies,23 000 Leben,2026-07-02,de,58.1534,5.293,46,False,2026
11012,Fatale,Damage,1992-12-02,en,58.8875,6.606,710,False,1992
1541560,Stop! That! Train!,Stop! That! Train!,2026-06-12,en,50.4667,5.1,31,False,2026
1728704,Siping,Siping,2026-07-10,tl,61.7984,4.0,2,False,2026
1305672,抓特务,抓特务,2026-06-19,zh,56.4286,6.2,5,False,2026
1468683,Heartstopper Forever,Heartstopper Forever,2026-07-14,en,54.8856,7.127,138,False,2026
1380291,Jack Ryan de Tom Clancy : Guerre Fantôme,Tom Clancy's Jack Ryan: Ghost War,2026-05-20,en,53.7268,7.001,680,False,2026
1279493,The Get Out,The Get Out,2026-06-18,en,51.7641,6.3,43,False,2026
278,Les Évadés,The Shawshank Redemption,1994-09-23,en,83.141,8.726,30819,False,1994
5721,Vixen,Vixen!,1968-10-15,en,54.1242,5.529,105,False,1968
1419406,The Shadow's Edge,捕风追影,2025-08-16,zh,60.8269,7.893,1002,False,2025
687259,镜花风月三之螺女挑情,镜花风月三之螺女挑情,1982-01-01,zh,54.2546,6.2,2,False,1982
1234821,Jurassic World : Renaissance,Jurassic World Rebirth,2025-06-23,en,55.7959,6.278,3548,False,2025
1122573,In the Grey,In the Grey,2026-05-13,en,54.1602,7.527,540,False,2026
755898,La Guerre des mondes,War of the Worlds,2025-07-29,en,45.8237,4.087,1041,False,2025
1368166,La Femme de ménage,The Housemaid,2025-12-18,en,49.9175,7.274,2676,False,2025
1725116,Simpsley,Simpsley,2026-07-03,en,46.2756,7.816,57,False,2026
1241982,Vaiana 2,Moana 2,2024-11-21,en,49.2687,6.995,3167,False,2024
1711175,Summerween,Summerween,2026-06-26,en,43.8094,5.667,3,False,2026
1227241,Maa Inti Bangaram,Maa Inti Bangaram,2026-06-18,te,50.4085,7.0,9,False,2026
1084242,Zootopie 2,Zootopia 2,2025-11-26,en,49.3377,7.682,3141,False,2025
27205,Inception,Inception,2010-07-15,en,53.247,8.372,39614,False,2010
652,Troie,Troy,2004-05-13,en,50.9326,7.18,11211,False,2004
1451078,Raakaasa,రాకాస,2026-04-03,te,40.0909,6.533,15,False,2026
1309083,Dolly,Dolly,2026-03-06,en,42.9789,5.949,167,False,2026
1397385,Little Brother,Little Brother,2026-06-18,en,40.7573,6.4,272,False,2026
155,The Dark Knight : Le Chevalier noir,The Dark Knight,2008-07-16,en,47.9347,8.5,36149,False,2008
299536,Avengers : Infinity War,Avengers: Infinity War,2018-04-25,en,44.7468,8.239,32332,False,2018
24428,Avengers,The Avengers,2012-04-25,en,47.6264,8.058,38833,False,2012
619,Bodyguard,The Bodyguard,1992-11-25,en,34.725,6.705,3283,False,1992
432279,Melancoly Baby,Melancoly Baby,1979-08-29,fr,40.085,6.333,3,False,1979
1297842,GOAT : Rêver plus haut,GOAT,2026-02-11,en,39.2,8.116,922,False,2026
713704,Evil Dead Rise,Evil Dead Rise,2023-04-12,en,42.5112,6.948,3815,False,2023
1175942,Les Bad Guys 2,The Bad Guys 2,2025-07-24,en,44.7504,7.635,828,False,2025
803796,KPop Demon Hunters,KPop Demon Hunters,2025-06-20,en,42.3774,8.02,3017,False,2025
1265609,War Machine,War Machine,2026-02-12,en,39.3345,7.427,2129,False,2026
872585,Oppenheimer,Oppenheimer,2023-07-19,en,41.9823,8.025,12042,False,2023
1363387,Saccharine,Saccharine,2026-05-22,en,38.6216,6.26,50,False,2026
671,Harry Potter à l'école des sorciers,Harry Potter and the Philosopher's Stone,2001-11-16,en,39.0247,7.901,29843,False,2001
1325734,The Drama,The Drama,2026-04-01,en,40.5184,6.92,1305,False,2026
840464,Greenland : Migration,Greenland 2: Migration,2026-01-07,en,40.3412,6.447,1359,False,2026
